house_type,num_bedrooms,floor_area_sqft,num_floors,num_occupants,num_adults,num_children,climate_zone,city_tier,insulation_quality,window_type,roof_type,has_ac,num_ac_units,ac_star_rating,ac_usage_hrs_per_day,num_ceiling_fans,num_led_bulbs,num_cfl_bulbs,num_incandescent_bulbs,avg_lighting_hrs_per_day,water_heater_type,water_heater_capacity_L,water_heater_usage_hrs_per_day,has_refrigerator,fridge_capacity_L,fridge_star_rating,has_microwave,has_electric_stove,has_dishwasher,dishwasher_cycles_per_week,has_washing_machine,washing_machine_type,washing_cycles_per_week,has_dryer,num_tvs,tv_screen_size_inch,tv_usage_hrs_per_day,num_computers,computer_usage_hrs_per_day,has_solar_panels,solar_capacity_kWp,has_battery_storage,battery_capacity_kWh,daily_energy_consumption_kWh,monthly_energy_consumption_kWh,estimated_peak_load_kW
Independent House,5,1414,2,1,1,0,Temperate,Tier 2,Poor,Single Pane,Flat RCC,1,1,4,10,5,8,9,1,4.6,Electric Geyser,50,2.7,1,165,2,1,0,0,0,1,Top Load,7,0,1,65,2.3,2,9.9,0,0,0,0,30.27,908.2,3.78
Apartment,2,663,1,3,1,2,Composite,Tier 2,Poor,Triple Pane,Sloped Tiled,1,1,2,4.2,2,5,2,1,5.2,Solar + Backup,10,1,1,165,2,1,1,0,0,1,Top Load,4,0,1,75,4.8,1,2.3,0,0,0,0,18.77,563,2.35
Row House,4,1660,2,6,2,4,Hot & Dry,Tier 3,Good,Single Pane,Flat RCC,1,2,1,17,2,11,1,1,7.2,None,0,0,1,235,4,1,0,1,12,1,Top Load,4,1,1,50,7.3,1,9.3,0,0,0,0,73.32,2199.6,9.17
Row House,3,799,1,3,3,0,Cold,Tier 2,Average,Double Pane,Flat RCC,1,4,4,12.4,7,17,7,1,10.2,None,0,0,1,340,4,0,0,0,0,1,Semi-Automatic,6,1,1,75,3,1,11.5,0,0,0,0,87.39,2621.6,10.92
Row House,3,1162,2,3,1,2,Hot & Humid,Tier 2,Poor,Double Pane,Sloped Tiled,1,1,2,6.8,2,11,7,2,9.6,Electric Geyser,15,1.4,1,500,2,0,1,0,0,1,Semi-Automatic,2,0,1,75,3.9,1,7,0,0,0,0,38.08,1142.3,4.76
Apartment,4,1905,1,5,1,4,Hot & Humid,Tier 1,Average,Triple Pane,Flat RCC,0,0,0,0,2,9,4,4,4.6,Electric Geyser,50,0.5,1,190,4,0,1,0,0,1,Front Load,6,0,1,65,6.3,1,5.4,0,0,0,0,13.02,390.7,1.63
Apartment,3,1374,1,4,2,2,Hot & Dry,Tier 1,Poor,Double Pane,Flat RCC,0,0,0,0,3,4,4,1,5.1,None,0,0,1,190,2,0,1,0,0,1,Top Load,7,0,1,43,9.6,1,8.5,0,0,0,0,13.47,404.2,1.68
Row House,3,1014,3,3,1,2,Hot & Humid,Tier 1,Excellent,Double Pane,Insulated RCC,1,4,1,17.8,4,4,3,1,8.2,Electric Geyser,25,1.3,0,0,0,0,1,0,0,1,Top Load,4,0,3,32,4.3,1,11.2,0,0,0,0,125.98,3779.3,15.75
Independent House,1,313,1,4,1,3,Hot & Dry,Tier 2,Average,Single Pane,Flat RCC,1,1,2,16.2,2,11,0,1,5.7,Heat Pump,10,2,1,235,3,0,1,1,12,1,Semi-Automatic,3,1,1,55,5.9,1,3.8,0,0,0,0,45.39,1361.6,5.67
Row House,1,440,1,5,3,2,Cold,Tier 1,Poor,Single Pane,Sloped Tiled,1,1,3,18,4,14,0,4,6.8,Solar + Backup,15,0.9,1,340,4,1,0,0,0,1,Front Load,7,0,0,0,0,1,6,0,0,0,0,45.97,1379.2,5.75
Row House,4,1640,2,3,3,0,Composite,Tier 1,Good,Triple Pane,Insulated RCC,1,1,4,7.4,2,21,5,0,7.4,None,0,0,1,400,3,1,0,0,0,1,Top Load,8,0,1,75,9.2,1,3.6,0,0,0,0,18.22,546.6,2.28
Villa,3,908,3,3,1,2,Hot & Dry,Tier 2,Average,Single Pane,Flat RCC,1,2,2,15.8,4,13,3,1,8.3,None,0,0,1,340,3,1,0,0,0,1,Semi-Automatic,5,0,1,43,2.6,1,7,0,0,0,0,67.88,2036.5,8.49
Apartment,3,866,1,3,1,2,Cold,Tier 2,Average,Double Pane,Flat RCC,1,1,4,15.5,5,15,3,1,5.3,Solar + Backup,35,1.6,1,235,4,1,0,0,0,1,Top Load,9,1,2,65,6.5,2,7.4,0,0,0,0,38.03,1140.9,4.75
Apartment,3,1230,1,6,2,4,Hot & Humid,Tier 2,Average,Single Pane,Sloped Tiled,0,0,0,0,5,23,2,1,4.5,Solar + Backup,25,2.9,0,0,0,0,0,1,6,1,Top Load,8,0,1,75,8.8,2,11.4,0,0,0,0,17.31,519.2,2.16
Villa,1,466,1,4,2,2,Hot & Humid,Tier 1,Average,Single Pane,Sloped Tiled,1,2,3,5.4,4,19,8,0,6.6,Electric Geyser,50,0.6,1,165,5,1,1,0,0,0,None,0,0,1,43,9.9,3,6.1,0,0,0,0,35.54,1066.1,4.44
Apartment,1,351,1,1,1,0,Composite,Tier 1,Good,Single Pane,Sloped Tiled,1,2,1,17.7,2,8,2,1,3.7,Electric Geyser,10,2.9,1,280,4,1,0,0,0,1,Semi-Automatic,6,0,1,32,7.6,0,0,0,0,0,0,64.14,1924.1,8.02
Apartment,3,1279,1,5,3,2,Composite,Tier 3,Average,Single Pane,Flat RCC,0,0,0,0,3,19,7,0,7.7,Electric Geyser,35,2,1,165,3,0,1,1,5,1,Front Load,8,1,1,32,5,1,10.9,1,1,1,10,16.74,502.2,2.66
Independent House,2,672,2,3,1,2,Hot & Humid,Tier 1,Average,Triple Pane,Flat RCC,1,1,2,16.2,4,15,1,0,10.6,Electric Geyser,50,2.5,1,190,4,1,0,0,0,0,None,0,0,1,55,5.3,0,0,0,0,0,0,47.14,1414.3,5.89
Row House,2,815,3,1,1,0,Hot & Dry,Tier 3,Excellent,Double Pane,Flat RCC,1,2,4,4.1,6,9,3,3,4.1,Electric Geyser,35,1.6,1,165,2,0,0,0,0,1,Top Load,6,1,2,55,4.8,1,8.7,0,0,0,0,22.6,677.9,2.82
Independent House,3,970,1,3,3,0,Composite,Tier 3,Poor,Double Pane,Insulated RCC,0,0,0,0,3,8,0,3,4,Electric Geyser,50,1.6,1,235,3,0,0,1,10,1,Semi-Automatic,3,0,1,75,6.8,2,9.6,1,2,0,0,8.41,252.3,2.18
Independent House,1,331,1,3,3,0,Composite,Tier 3,Average,Double Pane,Flat RCC,0,0,0,0,6,4,4,1,3.7,None,0,0,1,190,5,0,0,0,0,1,Semi-Automatic,5,0,2,55,7.9,1,5.3,0,0,0,0,7.35,220.4,0.92
Apartment,3,1179,1,5,2,3,Composite,Tier 1,Poor,Double Pane,Insulated RCC,1,3,5,7.3,4,22,1,2,10.6,Electric Geyser,35,2.7,0,0,0,1,0,0,0,0,None,0,0,1,40,8.6,2,3.6,1,3,0,0,37.02,1110.6,6.31
Independent House,2,771,1,2,2,0,Hot & Dry,Tier 3,Poor,Double Pane,Insulated RCC,1,3,5,13.7,2,13,0,3,3.7,Electric Geyser,15,1.1,1,400,4,1,1,0,0,1,Top Load,6,0,1,40,5.3,2,7,0,0,0,0,82.95,2488.6,10.37
Row House,3,1163,2,4,2,2,Hot & Humid,Tier 3,Average,Double Pane,Flat RCC,0,0,0,0,6,17,0,3,11.9,Electric Geyser,50,1,1,400,3,1,0,0,0,1,Front Load,8,0,1,43,7.7,3,5.6,0,0,0,0,24.92,747.7,3.12
Apartment,2,883,1,3,2,1,Hot & Dry,Tier 2,Poor,Single Pane,Flat RCC,0,0,0,0,4,24,1,2,6.2,Electric Geyser,10,1.7,0,0,0,1,0,0,0,0,None,0,0,3,65,9.3,1,4.7,0,0,0,0,16.38,491.5,2.05
Independent House,3,921,1,1,1,0,Hot & Humid,Tier 1,Poor,Single Pane,Flat RCC,1,1,4,6.3,3,6,4,4,6,Electric Geyser,35,2.8,1,500,2,0,1,0,0,1,Top Load,6,0,0,0,0,0,0,0,0,0,0,35.71,1071.4,4.46
Villa,1,509,2,6,1,5,Cold,Tier 1,Average,Double Pane,Sloped Tiled,1,2,3,9.4,2,9,8,1,3.8,None,0,0,1,500,3,1,0,0,0,1,Top Load,6,0,1,50,7.6,1,7,0,0,0,0,39.73,1192,4.97
Independent House,1,300,1,3,2,1,Composite,Tier 1,Poor,Triple Pane,Insulated RCC,1,1,2,6.6,6,8,5,4,8.3,Solar + Backup,35,2.1,1,165,5,1,0,0,0,1,Top Load,4,0,1,32,7.1,0,0,0,0,0,0,27.59,827.7,3.45
Independent House,2,779,2,2,2,0,Hot & Dry,Tier 2,Good,Double Pane,Flat RCC,0,0,0,0,4,20,3,4,8.3,Electric Geyser,25,2.3,1,500,2,0,0,0,0,1,Top Load,2,0,2,40,6.3,3,4,1,10,1,5,0,0,2.56
Independent House,3,1240,1,3,3,0,Temperate,Tier 2,Good,Double Pane,Flat RCC,1,2,2,9.8,2,21,2,0,7.4,Electric Geyser,10,2.4,1,340,4,1,0,0,0,1,Semi-Automatic,2,0,1,43,3.5,1,11.4,0,0,0,0,37.06,1111.8,4.63
Apartment,3,981,2,5,3,2,Composite,Tier 2,Average,Double Pane,Flat RCC,1,3,1,5.3,2,15,7,0,5.8,Electric Geyser,25,1.9,1,340,3,0,1,0,0,1,Front Load,8,0,3,50,3,2,9.9,0,0,0,0,44.23,1326.8,5.53
Apartment,2,812,3,2,1,1,Hot & Dry,Tier 2,Excellent,Double Pane,Flat RCC,1,3,1,10.8,5,8,2,1,6.3,Heat Pump,50,1.5,0,0,0,0,1,0,0,1,Top Load,3,0,2,55,5.9,1,10.1,0,0,0,0,59.5,1784.9,7.44
Villa,3,789,2,2,1,1,Temperate,Tier 2,Good,Double Pane,Sloped Tiled,1,4,4,5.3,2,12,0,2,5.9,Electric Geyser,50,2.9,1,340,4,1,1,0,0,1,Top Load,9,1,2,55,3.3,1,5.9,0,0,0,0,40.07,1202.1,5.01
Villa,4,1211,3,2,2,0,Temperate,Tier 2,Good,Single Pane,Sloped Tiled,1,1,4,5.8,4,15,3,0,6.8,Electric Geyser,25,2,1,190,3,1,0,0,0,1,Top Load,8,0,1,40,6.6,1,6.9,1,3,0,0,4.22,126.5,2.21
Villa,3,1160,1,2,2,0,Composite,Tier 3,Poor,Single Pane,Flat RCC,1,1,3,7.4,0,23,4,3,6.1,Electric Geyser,25,2.3,1,340,1,1,1,0,0,1,Top Load,4,0,2,43,7.2,1,7.9,0,0,0,0,31.96,958.8,4
Row House,1,441,1,4,2,2,Hot & Humid,Tier 1,Good,Double Pane,Sloped Tiled,1,2,3,16,7,12,4,1,9.1,None,0,0,1,235,5,1,0,0,0,1,Front Load,2,0,1,75,6.2,2,9.9,0,0,0,0,64.95,1948.5,8.12
Independent House,3,1471,2,3,2,1,Composite,Tier 2,Excellent,Single Pane,Flat RCC,1,1,3,16.9,5,6,4,4,5.7,Electric Geyser,15,2.2,1,400,4,1,0,0,0,0,None,0,0,1,65,2.3,3,10.5,0,0,0,0,35.16,1054.8,4.4
Independent House,1,517,2,2,1,1,Temperate,Tier 1,Average,Single Pane,Flat RCC,1,1,4,15.6,4,4,7,1,6.2,None,0,0,1,280,2,1,0,0,0,1,Front Load,4,0,3,32,2.5,2,2.8,1,3,0,0,13.43,403,3.37
Villa,2,950,1,2,2,0,Hot & Humid,Tier 2,Good,Double Pane,Flat RCC,1,2,1,8.7,4,18,7,0,6.9,Electric Geyser,35,1.1,1,340,3,1,1,0,0,1,Front Load,5,0,1,40,2.9,1,11,0,0,0,0,47.96,1438.8,6
Independent House,5,1802,1,2,2,0,Hot & Humid,Tier 2,Good,Single Pane,Sloped Tiled,1,1,5,7.8,4,13,3,2,3,Solar + Backup,25,2.3,1,235,4,1,1,1,7,1,Top Load,8,0,3,65,3.2,0,0,1,5,1,5,2.24,67.3,3.09
Independent House,1,377,1,5,3,2,Temperate,Tier 3,Average,Triple Pane,Flat RCC,0,0,0,0,6,17,8,4,7.4,Solar + Backup,10,1.8,1,235,5,1,1,0,0,1,Front Load,2,0,1,65,9.9,2,7.9,0,0,0,0,17.06,511.7,2.13
Villa,3,930,1,2,2,0,Hot & Humid,Tier 1,Average,Triple Pane,Flat RCC,1,2,5,14.1,6,10,0,2,5.3,Electric Geyser,35,2.2,1,190,5,1,1,0,0,0,None,0,0,3,32,4.8,0,0,1,2,1,7.5,49.26,1477.9,7.28
Villa,3,938,1,6,3,3,Temperate,Tier 3,Poor,Double Pane,Flat RCC,0,0,0,0,3,7,4,1,3.5,Electric Geyser,35,1.2,1,400,5,1,0,0,0,1,Front Load,8,0,1,50,4.3,3,10.2,0,0,0,0,15.41,462.3,1.93
Apartment,3,922,2,3,2,1,Composite,Tier 1,Poor,Double Pane,Flat RCC,1,2,4,5.8,4,8,4,2,11.2,Electric Geyser,25,2,1,190,2,1,0,0,0,0,None,0,1,2,32,2.4,1,7.5,0,0,0,0,36,1080,4.5
Apartment,3,1190,1,2,1,1,Hot & Dry,Tier 2,Poor,Double Pane,Flat RCC,0,0,0,0,6,23,4,2,5.9,Electric Geyser,15,1.6,1,280,5,1,1,0,0,1,Top Load,9,0,0,0,0,1,10.2,0,0,0,0,22.1,663.1,2.76
Apartment,1,424,1,5,2,3,Hot & Humid,Tier 1,Average,Single Pane,Flat RCC,1,1,1,13.7,6,19,7,1,6.8,Heat Pump,15,2,1,280,5,1,1,1,7,0,None,0,0,1,65,7.2,1,10.1,0,0,0,0,48.32,1449.5,6.04
Independent House,2,596,2,3,2,1,Temperate,Tier 3,Good,Single Pane,Flat RCC,1,1,5,15.7,6,6,8,4,10.4,Electric Geyser,10,1.2,1,165,3,0,1,0,0,1,Top Load,6,0,2,43,3.4,3,2.9,0,0,0,0,31.59,947.7,3.95
Apartment,3,839,2,4,3,1,Hot & Dry,Tier 2,Excellent,Double Pane,Flat RCC,1,2,5,15.8,3,20,2,2,4.5,Solar + Backup,10,2.3,1,280,3,1,0,1,12,1,Semi-Automatic,5,0,2,40,9.4,1,8.1,0,0,0,0,49.41,1482.2,6.18
Independent House,1,461,2,6,3,3,Composite,Tier 2,Average,Double Pane,Flat RCC,1,3,3,13.5,3,16,8,2,10.7,Electric Geyser,50,2.5,1,400,3,1,1,0,0,1,Front Load,6,0,1,32,8.4,1,6.8,0,0,0,0,80.71,2421.2,10.09
Independent House,2,774,2,1,1,0,Composite,Tier 3,Average,Single Pane,Sloped Tiled,1,3,4,17.4,4,9,7,1,5.2,Electric Geyser,15,1.1,1,500,4,1,0,1,9,1,Top Load,5,0,1,43,3.8,1,11.5,0,0,0,0,84.63,2538.9,10.58
Apartment,1,517,1,1,1,0,Composite,Tier 1,Poor,Double Pane,Insulated RCC,1,2,3,11.2,5,8,2,3,8.3,Solar + Backup,10,1.3,0,0,0,1,1,0,0,1,Front Load,8,0,1,43,5.9,2,5,0,0,0,0,52.2,1565.9,6.52
Independent House,1,300,2,4,2,2,Cold,Tier 1,Good,Double Pane,Sloped Tiled,1,1,5,16.8,4,19,1,2,9.2,Solar + Backup,50,2.2,1,400,1,0,0,0,0,1,Front Load,3,0,1,32,5.7,0,0,0,0,0,0,32.77,983.2,4.1
Apartment,2,664,1,2,1,1,Composite,Tier 3,Average,Single Pane,Flat RCC,0,0,0,0,0,14,3,0,11.1,Electric Geyser,35,2.2,1,190,2,1,1,0,0,1,Top Load,9,0,1,55,4.8,2,11,0,0,0,0,16.88,506.5,2.11
Apartment,1,469,1,2,2,0,Hot & Dry,Tier 1,Good,Double Pane,Flat RCC,1,2,3,15.9,0,20,1,4,8.5,Electric Geyser,10,2.3,1,235,3,0,0,0,0,1,Front Load,4,1,2,65,8.5,3,3.5,0,0,0,0,64.57,1937,8.07
Villa,3,891,2,1,1,0,Cold,Tier 1,Poor,Single Pane,Flat RCC,1,2,3,8.3,6,8,3,2,7.1,Electric Geyser,50,2.2,1,165,2,0,1,0,0,1,Semi-Automatic,9,1,1,55,2.9,3,8.9,0,0,0,0,54.74,1642.1,6.84
Apartment,3,1122,3,1,1,0,Composite,Tier 2,Average,Single Pane,Flat RCC,0,0,0,0,2,9,4,1,8.2,None,0,0,1,500,4,1,0,0,0,1,Front Load,3,0,1,50,5.3,1,5,0,0,0,0,9.19,275.8,1.15
Apartment,4,1195,1,4,3,1,Hot & Dry,Tier 2,Average,Double Pane,Flat RCC,1,2,5,11.7,7,13,1,0,4.8,Electric Geyser,35,1.5,1,500,2,1,0,0,0,1,Front Load,2,0,3,43,5.4,2,7.7,0,0,0,0,51.02,1530.5,6.38
Independent House,2,423,1,2,2,0,Hot & Humid,Tier 1,Poor,Triple Pane,Flat RCC,1,2,2,10.3,7,24,7,1,9.2,Electric Geyser,10,1.1,1,280,5,1,0,1,4,1,Top Load,3,0,0,0,0,0,0,0,0,0,0,65.97,1979.2,8.25
Villa,2,682,1,3,1,2,Temperate,Tier 1,Good,Single Pane,Insulated RCC,1,3,2,16.3,4,4,0,2,4.7,Heat Pump,15,0.9,1,235,5,1,1,0,0,1,Top Load,3,0,1,40,8.9,2,6.2,1,7,0,0,39.37,1181.2,8.86
Apartment,1,300,1,4,2,2,Hot & Dry,Tier 1,Average,Triple Pane,Flat RCC,1,1,3,5.4,6,24,2,0,8,Electric Geyser,35,2.2,0,0,0,0,0,1,8,1,Top Load,6,0,2,43,3.7,2,11.7,0,0,0,0,30.71,921.2,3.84
Independent House,3,827,1,3,3,0,Composite,Tier 2,Average,Single Pane,Insulated RCC,1,3,4,7.6,6,13,6,4,8.8,Electric Geyser,25,0.7,1,340,4,0,0,0,0,1,Front Load,7,0,2,55,2.8,1,3.3,0,0,0,0,45.48,1364.4,5.69
Apartment,3,1094,2,1,1,0,Composite,Tier 3,Good,Single Pane,Insulated RCC,0,0,0,0,5,20,9,4,11.1,Electric Geyser,15,2.8,1,165,2,1,1,0,0,1,Semi-Automatic,8,1,2,65,6.9,2,5.9,0,0,0,0,25.87,776.2,3.23
Apartment,1,441,1,4,2,2,Hot & Humid,Tier 3,Average,Single Pane,Insulated RCC,0,0,0,0,2,6,0,4,7.1,None,0,0,1,400,3,0,1,0,0,1,Semi-Automatic,9,0,2,43,3.4,2,6.3,0,0,0,0,15.64,469.2,1.95
Independent House,4,1657,3,1,1,0,Composite,Tier 2,Poor,Single Pane,Insulated RCC,1,4,5,8.5,4,5,1,3,10,None,0,0,1,235,2,0,0,0,0,1,Top Load,7,0,1,75,2.6,1,8.3,1,7,0,0,28.34,850.3,7.48
Independent House,1,420,2,4,1,3,Hot & Humid,Tier 1,Excellent,Single Pane,Flat RCC,0,0,0,0,3,20,2,1,4.5,Solar + Backup,50,2.8,1,190,5,1,0,0,0,1,Top Load,9,0,1,50,5.4,2,6.1,1,5,0,0,0,0,1.41
Independent House,3,922,2,5,2,3,Hot & Dry,Tier 3,Average,Triple Pane,Flat RCC,0,0,0,0,4,7,1,2,4.4,Electric Geyser,10,1.5,1,190,3,1,0,0,0,1,Top Load,5,0,2,43,3.8,0,0,0,0,0,0,12.4,372,1.55
Independent House,3,1275,2,3,3,0,Composite,Tier 2,Good,Single Pane,Flat RCC,1,2,4,6.2,7,5,1,0,7.7,Solar + Backup,15,2.6,1,165,3,1,1,0,0,1,Front Load,2,1,1,32,4.9,1,11.5,1,7,0,0,0,0,3.66
Row House,4,1323,1,3,2,1,Hot & Dry,Tier 1,Good,Single Pane,Flat RCC,1,1,3,16,4,8,5,1,8.4,Electric Geyser,25,0.9,1,165,4,0,1,0,0,0,None,0,0,0,0,0,1,6.2,0,0,0,0,36.7,1100.9,4.59
Independent House,3,814,1,3,2,1,Composite,Tier 3,Poor,Double Pane,Flat RCC,1,2,5,10.3,5,13,6,2,8.7,Electric Geyser,25,0.6,1,280,5,0,1,0,0,1,Front Load,6,0,2,32,2.7,3,5.4,0,0,0,0,47.06,1411.8,5.88
Apartment,4,1414,2,3,2,1,Temperate,Tier 3,Average,Single Pane,Insulated RCC,1,3,4,16.8,0,4,5,3,9.7,None,0,0,1,280,4,1,0,1,4,1,Semi-Automatic,2,0,2,32,6.5,1,6.5,1,7,0,0,37.63,1129,8.64
Villa,2,556,2,5,2,3,Temperate,Tier 2,Poor,Double Pane,Flat RCC,1,4,3,10.6,5,4,5,2,5.7,Electric Geyser,10,0.7,1,400,4,1,1,0,0,1,Front Load,9,1,1,43,2.2,2,4.2,0,0,0,0,82.11,2463.3,10.26
Apartment,4,1315,2,5,2,3,Hot & Humid,Tier 2,Average,Single Pane,Flat RCC,1,2,3,7.9,7,7,8,1,8.6,Electric Geyser,10,3,1,400,3,1,0,0,0,1,Top Load,4,0,3,65,9.7,2,3,0,0,0,0,54.33,1630,6.79
Independent House,1,468,1,2,1,1,Hot & Humid,Tier 1,Good,Single Pane,Sloped Tiled,1,2,4,6,5,10,7,2,4.7,None,0,0,1,165,4,0,0,1,13,1,Front Load,5,0,2,43,4.7,2,3.5,0,0,0,0,29.55,886.6,3.69
Apartment,4,1796,3,4,1,3,Composite,Tier 1,Average,Double Pane,Flat RCC,1,2,3,4.1,6,17,7,0,5,Solar + Backup,25,2.4,1,165,1,0,1,0,0,1,Top Load,6,0,3,65,7.6,2,3.7,0,0,0,0,26.36,790.8,3.29
Apartment,3,1159,1,5,3,2,Cold,Tier 2,Poor,Single Pane,Flat RCC,1,2,5,11.5,3,17,5,3,3.6,Electric Geyser,15,1.1,1,235,5,0,0,0,0,0,None,0,0,3,40,8.5,1,4,1,3,1,10,32.31,969.3,5.73
Row House,4,1464,2,6,1,5,Temperate,Tier 1,Average,Single Pane,Flat RCC,1,4,3,5.5,7,21,4,0,9.7,Electric Geyser,15,2.2,1,280,3,1,0,1,4,1,Top Load,8,1,1,65,4.2,2,6.2,0,0,0,0,51.56,1546.9,6.45
Villa,3,1311,3,3,1,2,Temperate,Tier 2,Average,Single Pane,Insulated RCC,0,0,0,0,5,5,8,3,7.6,Electric Geyser,25,0.6,1,190,1,0,1,0,0,1,Front Load,4,0,2,32,8,1,8.2,0,0,0,0,13.94,418.1,1.74
Independent House,3,927,1,3,1,2,Hot & Dry,Tier 3,Good,Single Pane,Sloped Tiled,1,2,2,12.2,2,4,1,3,5.1,Electric Geyser,15,2.6,1,500,5,1,0,0,0,0,None,0,0,2,43,8.7,2,8.3,0,0,0,0,55.75,1672.5,6.97
Independent House,3,960,2,2,2,0,Hot & Dry,Tier 3,Good,Double Pane,Sloped Tiled,1,2,1,7.9,7,24,6,2,8,Electric Geyser,25,0.9,1,500,3,0,0,0,0,1,Semi-Automatic,7,0,2,40,3.9,0,0,0,0,0,0,43.58,1307.4,5.45
Apartment,3,888,1,6,2,4,Composite,Tier 2,Good,Single Pane,Flat RCC,1,1,1,6.5,0,19,5,0,6.2,Electric Geyser,15,2.2,1,500,5,1,1,0,0,1,Top Load,8,1,2,75,9.9,1,11.2,1,3,0,0,15.33,460,3.6
Apartment,1,476,1,2,2,0,Hot & Humid,Tier 3,Good,Double Pane,Insulated RCC,1,1,5,14.8,3,21,6,3,10.5,None,0,0,1,280,5,0,1,0,0,1,Front Load,2,0,1,32,2.2,3,10.2,0,0,0,0,37.87,1136.1,4.73
Apartment,1,464,1,3,3,0,Hot & Humid,Tier 3,Average,Double Pane,Flat RCC,1,3,4,17.3,0,19,3,3,7.8,Electric Geyser,15,0.7,1,280,4,1,1,1,12,1,Front Load,4,0,1,40,3.7,1,11.6,0,0,0,0,101.96,3058.7,12.74
Independent House,2,928,2,2,2,0,Cold,Tier 2,Average,Single Pane,Insulated RCC,0,0,0,0,7,9,8,2,3.3,Electric Geyser,15,1.7,1,165,1,0,0,1,13,1,Semi-Automatic,8,0,1,55,8.2,1,5.6,0,0,0,0,15.52,465.7,1.94
Independent House,2,706,3,2,2,0,Hot & Humid,Tier 1,Average,Triple Pane,Green Roof,0,0,0,0,7,13,6,1,11.9,Electric Geyser,50,0.9,1,500,2,1,0,1,4,1,Front Load,8,0,2,50,3.6,1,8.6,0,0,0,0,25.82,774.7,3.23
Independent House,4,1616,2,3,1,2,Hot & Humid,Tier 1,Excellent,Triple Pane,Sloped Tiled,1,2,4,17.4,3,5,1,1,3.7,Electric Geyser,10,2.3,1,165,5,1,0,0,0,0,None,0,1,2,32,7.6,1,3.7,1,2,0,0,46.12,1383.6,6.89
Apartment,2,699,1,6,1,5,Hot & Humid,Tier 1,Average,Double Pane,Sloped Tiled,1,3,3,4.5,6,10,3,4,9.3,Electric Geyser,25,1.1,0,0,0,0,1,0,0,1,Top Load,3,0,1,43,8.8,1,10.2,0,0,0,0,44.05,1321.4,5.51
Row House,5,2208,2,1,1,0,Cold,Tier 1,Excellent,Single Pane,Flat RCC,0,0,0,0,2,24,4,4,6.9,None,0,0,1,340,3,1,0,0,0,1,Front Load,7,0,1,65,9.7,2,3.6,0,0,0,0,9.78,293.4,1.22
Independent House,2,1008,3,3,3,0,Composite,Tier 1,Good,Single Pane,Flat RCC,1,3,3,4.1,7,20,1,3,5.2,None,0,0,1,340,3,1,1,1,12,1,Front Load,3,0,2,55,5.8,3,5.3,0,0,0,0,32.87,986,4.11
Independent House,2,969,1,1,1,0,Composite,Tier 1,Good,Single Pane,Insulated RCC,0,0,0,0,4,6,9,1,9.1,Electric Geyser,10,1.2,1,400,2,1,0,0,0,1,Top Load,2,0,1,75,9.8,1,6.9,1,3,1,5,0,0,1.68
Independent House,3,806,3,2,2,0,Cold,Tier 2,Average,Single Pane,Flat RCC,1,4,4,8.3,2,23,7,3,4.1,None,0,0,1,280,5,1,0,0,0,1,Top Load,2,0,1,40,5.3,1,7.9,0,0,0,0,54.91,1647.4,6.86
Independent House,3,1074,1,3,2,1,Hot & Dry,Tier 3,Average,Single Pane,Insulated RCC,0,0,0,0,5,15,0,0,10.7,Electric Geyser,10,2.5,1,500,2,1,1,0,0,0,None,0,0,1,50,3.7,2,7.6,0,0,0,0,25.72,771.5,3.21
Apartment,3,882,2,3,3,0,Composite,Tier 1,Average,Double Pane,Sloped Tiled,1,1,3,8.4,0,5,2,1,5.3,Solar + Backup,50,0.9,1,340,2,0,1,0,0,1,Top Load,5,0,3,65,6.1,1,3,0,0,0,0,22.21,666.3,2.78
Apartment,3,991,1,2,2,0,Hot & Humid,Tier 2,Average,Single Pane,Flat RCC,1,2,3,13.2,2,10,0,1,6.3,Electric Geyser,15,0.7,1,400,4,0,1,0,0,1,Top Load,9,0,2,32,7.2,3,6.2,0,0,0,0,61.93,1857.9,7.74
Villa,3,908,1,2,2,0,Hot & Humid,Tier 2,Excellent,Triple Pane,Sloped Tiled,1,2,2,5.1,0,20,4,1,8.7,None,0,0,1,400,2,1,1,0,0,1,Top Load,7,0,1,50,5.7,1,11.2,1,10,0,0,0,0,3.48
Apartment,2,692,1,1,1,0,Temperate,Tier 1,Good,Single Pane,Flat RCC,1,1,3,7.4,4,22,7,4,3,Electric Geyser,35,1.6,0,0,0,1,1,0,0,1,Front Load,9,1,1,55,6.5,1,10.7,0,0,0,0,21.85,655.5,2.73
Apartment,5,1895,2,2,2,0,Temperate,Tier 3,Good,Double Pane,Flat RCC,1,2,3,14.8,3,15,6,2,7.3,Solar + Backup,25,1.9,1,400,1,0,1,1,7,1,Top Load,5,1,2,50,5.3,1,7.9,1,7,1,2.5,19.1,573.1,6.33
Apartment,5,1532,1,6,2,4,Hot & Dry,Tier 2,Average,Triple Pane,Flat RCC,1,2,1,11.4,0,12,8,2,11,Heat Pump,25,1.4,1,165,1,1,1,0,0,1,Top Load,7,0,2,32,6.2,2,7.7,0,0,0,0,60.76,1822.9,7.6
Apartment,3,1105,1,5,2,3,Hot & Dry,Tier 2,Poor,Single Pane,Flat RCC,1,3,5,17,2,17,1,4,9.1,Electric Geyser,50,2.5,1,165,3,0,1,0,0,1,Top Load,7,0,2,55,9.6,2,3.1,0,0,0,0,106.18,3185.5,13.27
